customer_id,customer_name,city,segment,payment_days,tier
C001,Client 001,Douala,Hotel/Restaurant,14,Normal
C002,Client 002,Douala,Grossiste,24,Important
C003,Client 003,Yaounde,Grossiste,13,Normal
C004,Client 004,Yaounde,Grossiste,29,Normal
C005,Client 005,Yaounde,Hotel/Restaurant,25,Normal
C006,Client 006,Bamenda,Grossiste,12,Important
C007,Client 007,Douala,Hotel/Restaurant,17,Normal
C008,Client 008,Douala,Grossiste,18,Normal
C009,Client 009,Bafoussam,Hotel/Restaurant,24,Important
C010,Client 010,Garoua,Grossiste,16,Normal
C011,Client 011,Yaounde,Boutique,25,Important
C012,Client 012,Douala,Grossiste,16,Important
C013,Client 013,Bamenda,Institution,19,Important
C014,Client 014,Yaounde,Grossiste,18,Normal
C015,Client 015,Yaounde,Supermarche,28,Important
C016,Client 016,Yaounde,Hotel/Restaurant,30,Normal
C017,Client 017,Yaounde,Grossiste,27,Normal
C018,Client 018,Douala,Hotel/Restaurant,8,Normal
C019,Client 019,Douala,Grossiste,15,Normal
C020,Client 020,Garoua,Grossiste,29,Normal
C021,Client 021,Yaounde,Grossiste,27,Normal
C022,Client 022,Douala,Supermarche,24,Normal
C023,Client 023,Bafoussam,Supermarche,25,Normal
C024,Client 024,Douala,Supermarche,23,Strategique
C025,Client 025,Bafoussam,Supermarche,11,Important
C026,Client 026,Bafoussam,Hotel/Restaurant,9,Normal
C027,Client 027,Yaounde,Supermarche,15,Normal
C028,Client 028,Bamenda,Institution,30,Normal
C029,Client 029,Bamenda,Grossiste,27,Important
C030,Client 030,Douala,Grossiste,7,Normal
C031,Client 031,Bamenda,Institution,23,Normal
C032,Client 032,Yaounde,Boutique,27,Normal
C033,Client 033,Yaounde,Grossiste,11,Important
C034,Client 034,Douala,Supermarche,23,Strategique
C035,Client 035,Yaounde,Boutique,10,Normal
C036,Client 036,Bamenda,Boutique,16,Important
C037,Client 037,Douala,Grossiste,9,Normal
C038,Client 038,Yaounde,Grossiste,24,Normal
C039,Client 039,Douala,Boutique,24,Normal
C040,Client 040,Yaounde,Grossiste,13,Important
C041,Client 041,Bafoussam,Boutique,29,Important
C042,Client 042,Garoua,Grossiste,21,Important
C043,Client 043,Yaounde,Boutique,9,Normal
C044,Client 044,Yaounde,Grossiste,14,Normal
C045,Client 045,Bafoussam,Grossiste,9,Normal
C046,Client 046,Bamenda,Boutique,14,Normal
C047,Client 047,Yaounde,Grossiste,30,Normal
C048,Client 048,Yaounde,Boutique,22,Normal
C049,Client 049,Douala,Boutique,20,Normal
C050,Client 050,Douala,Supermarche,8,Important
C051,Client 051,Garoua,Hotel/Restaurant,19,Normal
C052,Client 052,Bafoussam,Boutique,13,Normal
C053,Client 053,Yaounde,Grossiste,15,Normal
C054,Client 054,Bamenda,Supermarche,24,Normal
C055,Client 055,Yaounde,Grossiste,7,Normal
C056,Client 056,Garoua,Institution,12,Important
C057,Client 057,Yaounde,Supermarche,8,Important
C058,Client 058,Douala,Grossiste,21,Normal
C059,Client 059,Bafoussam,Grossiste,24,Important
C060,Client 060,Yaounde,Hotel/Restaurant,13,Normal
C061,Client 061,Yaounde,Institution,30,Normal
C062,Client 062,Douala,Grossiste,23,Normal
C063,Client 063,Garoua,Grossiste,12,Normal
C064,Client 064,Douala,Grossiste,19,Important
C065,Client 065,Garoua,Grossiste,26,Normal
C066,Client 066,Douala,Grossiste,25,Important
C067,Client 067,Garoua,Supermarche,29,Normal
C068,Client 068,Douala,Grossiste,27,Normal
C069,Client 069,Douala,Grossiste,9,Important
C070,Client 070,Yaounde,Grossiste,10,Normal
C071,Client 071,Douala,Grossiste,18,Normal
C072,Client 072,Bamenda,Boutique,12,Normal
C073,Client 073,Yaounde,Supermarche,27,Normal
C074,Client 074,Yaounde,Supermarche,28,Normal
C075,Client 075,Bamenda,Grossiste,10,Normal
C076,Client 076,Douala,Boutique,13,Normal
C077,Client 077,Douala,Hotel/Restaurant,15,Important
C078,Client 078,Douala,Supermarche,8,Strategique
C079,Client 079,Yaounde,Grossiste,7,Normal
C080,Client 080,Douala,Grossiste,12,Strategique
