expense_id,expense_month,expense_type,amount,expense_class
E00001,2024-01-01,Salaires,2205770,Operating
E00002,2024-01-01,Transport,1674800,Operating
E00003,2024-01-01,Loyer,837430,Operating
E00004,2024-01-01,Energie,762585,Operating
E00005,2024-01-01,Marketing,746652,Operating
E00006,2024-01-01,Maintenance,615470,Operating
E00007,2024-01-01,Frais bancaires,424609,Operating
E00008,2024-01-01,Telecom,346034,Operating
E00009,2024-01-01,Assurance,354110,Operating
E00010,2024-01-01,Divers,775401,Operating
E00011,2024-02-01,Salaires,2353691,Operating
E00012,2024-02-01,Transport,1785033,Operating
E00013,2024-02-01,Loyer,849824,Operating
E00014,2024-02-01,Energie,768016,Operating
E00015,2024-02-01,Marketing,668247,Operating
E00016,2024-02-01,Maintenance,618068,Operating
E00017,2024-02-01,Frais bancaires,470507,Operating
E00018,2024-02-01,Telecom,343214,Operating
E00019,2024-02-01,Assurance,329827,Operating
E00020,2024-02-01,Divers,643042,Operating
E00021,2024-03-01,Salaires,2501582,Operating
E00022,2024-03-01,Transport,1698755,Operating
E00023,2024-03-01,Loyer,879332,Operating
E00024,2024-03-01,Energie,646674,Operating
E00025,2024-03-01,Marketing,788933,Operating
E00026,2024-03-01,Maintenance,565237,Operating
E00027,2024-03-01,Frais bancaires,441220,Operating
E00028,2024-03-01,Telecom,352885,Operating
E00029,2024-03-01,Assurance,357411,Operating
E00030,2024-03-01,Divers,705569,Operating
E00031,2024-04-01,Salaires,2415921,Operating
E00032,2024-04-01,Transport,1704420,Operating
E00033,2024-04-01,Loyer,929018,Operating
E00034,2024-04-01,Energie,813731,Operating
E00035,2024-04-01,Marketing,681682,Operating
E00036,2024-04-01,Maintenance,657898,Operating
E00037,2024-04-01,Frais bancaires,416720,Operating
E00038,2024-04-01,Telecom,329562,Operating
E00039,2024-04-01,Assurance,324604,Operating
E00040,2024-04-01,Divers,664545,Operating
E00041,2024-05-01,Salaires,2114680,Operating
E00042,2024-05-01,Transport,1821943,Operating
E00043,2024-05-01,Loyer,923628,Operating
E00044,2024-05-01,Energie,668638,Operating
E00045,2024-05-01,Marketing,746440,Operating
E00046,2024-05-01,Maintenance,604229,Operating
E00047,2024-05-01,Frais bancaires,411708,Operating
E00048,2024-05-01,Telecom,360418,Operating
E00049,2024-05-01,Assurance,376973,Operating
E00050,2024-05-01,Divers,704737,Operating
E00051,2024-06-01,Salaires,2353120,Operating
E00052,2024-06-01,Transport,1823455,Operating
E00053,2024-06-01,Loyer,908315,Operating
E00054,2024-06-01,Energie,693238,Operating
E00055,2024-06-01,Marketing,688941,Operating
E00056,2024-06-01,Maintenance,535372,Operating
E00057,2024-06-01,Frais bancaires,394361,Operating
E00058,2024-06-01,Telecom,372858,Operating
E00059,2024-06-01,Assurance,368490,Operating
E00060,2024-06-01,Divers,677519,Operating
E00061,2024-07-01,Salaires,2228783,Operating
E00062,2024-07-01,Transport,1738149,Operating
E00063,2024-07-01,Loyer,833465,Operating
E00064,2024-07-01,Energie,740048,Operating
E00065,2024-07-01,Marketing,680125,Operating
E00066,2024-07-01,Maintenance,615561,Operating
E00067,2024-07-01,Frais bancaires,448230,Operating
E00068,2024-07-01,Telecom,393479,Operating
E00069,2024-07-01,Assurance,350027,Operating
E00070,2024-07-01,Divers,708124,Operating
E00071,2024-08-01,Salaires,2257840,Operating
E00072,2024-08-01,Transport,1593605,Operating
E00073,2024-08-01,Loyer,892375,Operating
E00074,2024-08-01,Energie,752564,Operating
E00075,2024-08-01,Marketing,719549,Operating
E00076,2024-08-01,Maintenance,656015,Operating
E00077,2024-08-01,Frais bancaires,490883,Operating
E00078,2024-08-01,Telecom,349547,Operating
E00079,2024-08-01,Assurance,369189,Operating
E00080,2024-08-01,Divers,685763,Operating
E00081,2024-09-01,Salaires,2187952,Operating
E00082,2024-09-01,Transport,1651954,Operating
E00083,2024-09-01,Loyer,882531,Operating
E00084,2024-09-01,Energie,734765,Operating
E00085,2024-09-01,Marketing,678583,Operating
E00086,2024-09-01,Maintenance,581592,Operating
E00087,2024-09-01,Frais bancaires,434471,Operating
E00088,2024-09-01,Telecom,350028,Operating
E00089,2024-09-01,Assurance,383780,Operating
E00090,2024-09-01,Divers,734136,Operating
E00091,2024-10-01,Salaires,2143900,Operating
E00092,2024-10-01,Transport,1832544,Operating
E00093,2024-10-01,Loyer,910697,Operating
E00094,2024-10-01,Energie,712764,Operating
E00095,2024-10-01,Marketing,724290,Operating
E00096,2024-10-01,Maintenance,634747,Operating
E00097,2024-10-01,Frais bancaires,401246,Operating
E00098,2024-10-01,Telecom,392140,Operating
E00099,2024-10-01,Assurance,352399,Operating
E00100,2024-10-01,Divers,702950,Operating
E00101,2024-11-01,Salaires,2364820,Operating
E00102,2024-11-01,Transport,1779607,Operating
E00103,2024-11-01,Loyer,796917,Operating
E00104,2024-11-01,Energie,725377,Operating
E00105,2024-11-01,Marketing,659352,Operating
E00106,2024-11-01,Maintenance,612672,Operating
E00107,2024-11-01,Frais bancaires,430411,Operating
