purchase_id,purchase_date,product_id,supplier_id,quantity,unit_cost,total_cost,freight
A000001,2024-01-01,P007,S007,221,545,120445,8740
A000002,2024-01-01,P015,S005,164,703,115292,3115
A000003,2024-01-01,P008,S005,100,471,47100,1784
A000004,2024-01-01,P013,S004,274,2247,615678,23829
A000005,2024-01-01,P003,S001,189,1844,348516,11614
A000006,2024-01-01,P006,S003,135,4892,660420,16997
A000007,2024-01-01,P004,S005,296,8456,2502976,84527
A000008,2024-01-03,P001,S002,100,12945,1294500,92394
A000009,2024-01-03,P006,S004,528,4960,2618880,175804
A000010,2024-01-03,P006,S004,479,5045,2416555,173155
A000011,2024-01-03,P005,S002,133,647,86051,5867
A000012,2024-01-05,P014,S004,165,721,118965,6440
A000013,2024-01-05,P005,S004,170,614,104380,4736
A000014,2024-01-05,P012,S002,238,876,208488,9320
A000015,2024-01-07,P015,S003,303,705,213615,11044
A000016,2024-01-07,P014,S007,230,796,183080,5436
A000017,2024-01-07,P010,S007,232,251,58232,2018
A000018,2024-01-07,P001,S003,100,11930,1193000,29946
A000019,2024-01-07,P018,S001,174,1960,341040,17366
A000020,2024-01-07,P006,S006,153,4384,670752,25158
A000021,2024-01-09,P002,S002,292,10974,3204408,180167
A000022,2024-01-09,P008,S005,220,458,100760,7420
A000023,2024-01-09,P009,S006,132,1274,168168,12344
A000024,2024-01-09,P010,S004,387,242,93654,6620
A000025,2024-01-09,P020,S007,118,8972,1058696,62783
A000026,2024-01-09,P003,S004,134,1841,246694,11002
A000027,2024-01-09,P013,S004,211,2188,461668,27262
A000028,2024-01-09,P013,S001,113,2376,268488,19783
A000029,2024-01-11,P007,S004,100,591,59100,3265
A000030,2024-01-11,P007,S001,197,594,117018,7439
A000031,2024-01-11,P019,S001,203,2254,457562,13326
A000032,2024-01-13,P013,S002,285,2194,625290,27054
A000033,2024-01-13,P016,S001,159,869,138171,4160
A000034,2024-01-13,P007,S002,148,587,86876,6375
A000035,2024-01-15,P010,S002,178,230,40940,2047
A000036,2024-01-15,P001,S006,115,12235,1407025,39282
A000037,2024-01-15,P009,S002,100,1327,132700,8373
A000038,2024-01-15,P004,S002,153,8281,1266993,89430
A000039,2024-01-15,P015,S005,128,714,91392,5693
A000040,2024-01-17,P020,S005,151,9633,1454583,66610
A000041,2024-01-19,P017,S001,106,1674,177444,8825
A000042,2024-01-19,P020,S007,135,8896,1200960,67473
A000043,2024-01-19,P001,S005,241,12119,2920679,109487
A000044,2024-01-19,P017,S003,100,1650,165000,4448
A000045,2024-01-19,P013,S005,100,2070,207000,13946
A000046,2024-01-21,P002,S001,100,9808,980800,66918
