sale_id,sale_date,product_id,customer_id,quantity,unit_price,revenue,discount,allocated_transport,due_date
V000001,2024-01-01,P018,C055,21,3046,63966,0,814,2024-01-08
V000002,2024-01-01,P005,C070,8,868,6944,256,327,2024-01-11
V000003,2024-01-01,P002,C040,12,12985,155820,2580,423,2024-01-14
V000004,2024-01-01,P018,C053,37,2995,110815,0,2344,2024-01-16
V000005,2024-01-01,P006,C053,32,6224,199168,0,1261,2024-01-16
V000006,2024-01-01,P002,C061,3,12818,38454,1146,143,2024-01-31
V000007,2024-01-01,P008,C029,4,668,2672,0,172,2024-01-28
V000008,2024-01-01,P017,C052,72,2440,175680,720,3418,2024-01-14
V000009,2024-01-01,P009,C023,8,1724,13792,1408,468,2024-01-26
V000010,2024-01-01,P004,C050,34,10878,369852,0,1650,2024-01-09
V000011,2024-01-01,P017,C069,27,2260,61020,5130,1546,2024-01-10
V000012,2024-01-01,P011,C080,5,472,2360,140,175,2024-01-13
V000013,2024-01-01,P010,C053,10,440,4400,100,424,2024-01-16
V000014,2024-01-01,P013,C023,24,3197,76728,72,1078,2024-01-26
V000015,2024-01-01,P010,C027,16,440,7040,160,543,2024-01-16
V000016,2024-01-01,P015,C028,21,1034,21714,0,842,2024-01-31
V000017,2024-01-01,P003,C037,21,2321,48741,1659,1345,2024-01-10
V000018,2024-01-01,P008,C040,13,667,8671,0,603,2024-01-14
V000019,2024-01-02,P020,C010,12,13782,165384,8616,435,2024-01-18
V000020,2024-01-02,P013,C064,17,3110,52870,1530,367,2024-01-21
V000021,2024-01-02,P004,C055,4,10363,41452,548,129,2024-01-09
V000022,2024-01-02,P018,C032,9,2773,24957,1143,378,2024-01-29
V000023,2024-01-02,P011,C057,31,467,14477,1023,1374,2024-01-10
V000024,2024-01-02,P018,C058,19,2903,55157,0,1180,2024-01-23
V000025,2024-01-02,P017,C063,24,2512,60288,0,1191,2024-01-14
V000026,2024-01-02,P009,C043,12,1931,23172,0,620,2024-01-11
V000027,2024-01-02,P005,C028,8,869,6952,248,334,2024-02-01
V000028,2024-01-02,P007,C054,11,805,8855,0,486,2024-01-26
V000029,2024-01-02,P019,C049,12,2969,35628,372,677,2024-01-22
V000030,2024-01-02,P014,C069,36,1078,38808,792,1436,2024-01-11
V000031,2024-01-02,P008,C035,18,632,11376,324,1089,2024-01-12
V000032,2024-01-02,P013,C022,61,3176,193736,1464,2483,2024-01-26
V000033,2024-01-02,P014,C018,33,1098,36234,66,1837,2024-01-10
V000034,2024-01-02,P015,C042,4,965,3860,60,296,2024-01-23
V000035,2024-01-02,P014,C033,40,1100,44000,0,1643,2024-01-13
V000036,2024-01-02,P012,C029,43,1401,60243,2107,1230,2024-01-29
V000037,2024-01-02,P008,C026,54,652,35208,0,3162,2024-01-11
V000038,2024-01-03,P019,C028,19,2903,55157,1843,1083,2024-02-02
V000039,2024-01-03,P004,C021,9,10092,90828,3672,161,2024-01-30
